NestID,Year,Date.Found,Date.Finish,Fate,Study.Area,UTM Zone,UTM E,UTM N,Per.Bare.Ground,Mean.Robel
34_2015,2015,41,57,Success,West,12,406125,4547708,50,3.333333333
35_2015,2015,41,48,Success,GSL,12,291102,4421394,10,2.666666667
36_2015,2015,42,49,Success,GSL,12,402160,4513708,60,2.666666667
37_2015,2015,45,49,Raven,GSL,12,401706,4514179,50,2
38_2015,2015,46,52,Success,West,12,292515,4421350,70,3
39_2015,2015,47,50,Fox,GSL,12,401345,4514067,80,2
40_2015,2015,49,54,Success,West,12,293754,4422099,60,3
41_2015,2015,51,61,Coyote,GSL,12,401049,4514369,70,2.666666667
42_2015,2015,52,70,Coyote,West,12,405965,4547351,80,1
43_2015,2015,52,58,Fox,GSL,12,405938,4547384,80,1.666666667
44_2015,2015,52,58,Success,GSL,12,295407,4417616,60,2
45_2015,2015,53,64,Gull,GSL,12,405063,4549323,70,1.333333333
46_2015,2015,55,57,Success,West,12,299338,4419197,100,0
47_2015,2015,56,77,Coyote,West,12,294211,4421945,30,3.666666667
48_2015,2015,56,75,Success,GSL,12,401033,4514321,70,3.666666667
49_2015,2015,57,68,Success,GSL,12,402313,4549436,80,2.666666667
50_2015,2015,57,67,Success,GSL,12,400970,4514333,50,2.333333333
51_2015,2015,57,66,Success,GSL,12,405454,4548886,80,2.666666667
52_2015,2015,61,87,Abandon,West,12,291806,4421075,40,3
53_2015,2015,63,69,Gull,GSL,12,402217,4549367,50,1.333333333
54_2015,2015,65,72,Coyote,GSL,12,403840,4548992,30,2
55_2015,2015,65,71,Raven,GSL,12,405410,4549133,90,1
56_2015,2015,66,73,Gull,GSL,12,404076,4548656,60,1.333333333
57_2015,2015,67,86,Abandon,GSL,12,404860,4548970,90,0.666666667
58_2015,2015,67,82,Coyote,West,12,294161,4420520,40,2.333333333
59_2015,2015,68,79,Coyote,West,12,292915,4421588,10,2.666666667
60_2015,2015,69,76,Fox,GSL,12,402170,4513672,50,1.666666667
61_2015,2015,71,80,Other,West,12,292467,4421187,50,2.333333333
62_2015,2015,80,100,Success,West,12,295451,4417569,90,0
63_2015,2015,82,90,Success,GSL,12,404534,4548810,60,2.333333333
64_2015,2015,86,90,Success,GSL,12,403777,4549121,40,1
65_2015,2015,87,113,Success,West,12,291745,4421486,30,2.333333333
66_2015,2015,88,94,Success,GSL,12,401870,4514520,20,2.666666667
67_2015,2015,90,96,Success,GSL,12,404854,4548980,30,3.333333333
68_2015,2015,90,97,Success,GSL,12,404538,4548818,60,3
69_2015,2015,94,106,Success,GSL,12,403770,4549111,40,2.666666667
70_2015,2015,96,113,Success,GSL,12,402163,4514580,30,2.333333333
1_2016,2016,1,2,Gull,GSL,12,403927,4549189,90,0.666666667
2_2016,2016,1,5,Gull,GSL,12,405341,4548901,60,1.333333333
3_2016,2016,1,10,Raven,GSL,12,401838,4513947,80,2
4_2016,2016,2,12,Gull,GSL,12,401377,4514197,70,2
5_2016,2016,3,4,Gull,GSL,12,396558,4544983,90,0.666666667
6_2016,2016,5,6,Other,West,12,292251,4420837,40,2.333333333
7_2016,2016,6,12,Gull,GSL,12,401093,4514516,70,1.333333333
8_2016,2016,6,8,Other,West,12,293642,4422712,50,3
9_2016,2016,8,9,Gull,GSL,12,396421,4545287,40,1.333333333
10_2016,2016,8,15,Raven,GSL,12,399780,4511754,100,1
11_2016,2016,9,11,Gull,GSL,12,397088,4544732,70,1.333333333
12_2016,2016,11,28,Raven,West,12,293835,4421521,30,3.666666667
13_2016,2016,13,31,Fox,West,12,293696,4422633,40,4.333333333
14_2016,2016,15,25,Gull,GSL,12,396481,4544960,100,1
15_2016,2016,15,19,Raven,GSL,12,402089,4513730,50,2
16_2016,2016,15,20,Success,West,12,291103,4421405,60,2
17_2016,2016,16,38,Fox,West,12,290310,4421357,10,2.666666667
18_2016,2016,16,18,Gull,GSL,12,396443,4545395,100,1
19_2016,2016,16,23,Raven,GSL,12,401122,4514360,50,1.333333333
20_2016,2016,18,27,Success,GSL,12,396852,4544895,20,2.666666667
21_2016,2016,19,20,Success,GSL,12,396657,4544788,30,1
22_2016,2016,19,43,Success,West,12,246604,4491887,30,2
23_2016,2016,20,27,Success,West,12,295515,4417593,100,0
24_2016,2016,21,24,Fox,West,12,293739,4422103,20,3.333333333
25_2016,2016,21,38,Success,West,12,292531,4421280,10,2.333333333
26_2016,2016,22,28,Success,West,11,754304,4483236,40,4
27_2016,2016,23,28,Raven,GSL,12,401108,4514467,80,1.666666667
28_2016,2016,24,43,Fox,West,12,406107,4547655,70,1.666666667
29_2016,2016,24,28,Gull,GSL,11,753407,4484385,100,0
30_2016,2016,24,36,Success,West,11,752335,4490703,100,0
31_2016,2016,25,35,Coyote,GSL,12,294213,4421958,50,2.333333333
32_2016,2016,25,32,Fox,West,12,406121,4547712,40,1.333333333
33_2016,2016,26,35,Fox,West,12,294159,4420533,10,4
34_2016,2016,26,35,Fox,West,12,291812,4421058,70,2.666666667
35_2016,2016,28,38,Fox,West,12,292911,4421599,60,4.333333333
36_2016,2016,28,45,Success,West,12,291755,4421467,50,4
37_2016,2016,28,34,Success,West,12,292449,4421202,30,1.333333333
38_2016,2016,28,37,Success,West,12,299245,4418887,70,2.333333333
39_2016,2016,29,40,Success,West,12,290181,4421826,10,1.333333333
40_2016,2016,30,38,Gull,GSL,12,290529,4421948,60,2
41_2016,2016,30,31,Raven,GSL,12,249236,4491643,90,0
42_2016,2016,30,35,Success,West,11,752406,4490695,40,2.666666667
43_2016,2016,30,48,Success,West,12,405961,4547355,100,0.666666667
44_2016,2016,30,43,Success,West,12,400461,4512785,100,0.666666667
45_2016,2016,31,51,Fox,West,12,405930,4547377,60,2
46_2016,2016,31,39,Raven,GSL,12,291329,4422248,30,2.333333333
47_2016,2016,31,52,Success,West,12,248515,4490546,20,2.333333333
48_2016,2016,31,42,Success,West,11,752806,4492211,40,2.333333333
49_2016,2016,32,44,Fox,West,12,290935,4423396,10,2.666666667
50_2016,2016,32,42,Raven,GSL,12,400754,4512513,60,2.666666667
51_2016,2016,32,58,Success,West,12,291183,4421809,60,2.333333333
52_2016,2016,33,52,Fox,West,12,293656,4422302,10,3.333333333
53_2016,2016,33,54,Success,West,12,292317,4421020,50,1.333333333
54_2016,2016,34,40,Success,West,12,291527,4423535,70,2.333333333
55_2016,2016,34,39,Success,West,12,290101,4421959,100,0
56_2016,2016,35,50,Success,West,12,292199,4422150,70,2.333333333
57_2016,2016,35,64,Success,West,12,298846,4418701,40,1.666666667
58_2016,2016,35,36,Success,West,12,247162,4490356,70,3.333333333
59_2016,2016,35,41,Success,West,12,249975,4490427,50,2.333333333
60_2016,2016,36,38,Fox,West,12,293996,4421715,60,1.666666667
61_2016,2016,36,47,Success,West,12,295674,4417739,50,3.666666667
62_2016,2016,36,45,Success,GSL,12,402164,4513694,10,2.666666667
63_2016,2016,37,50,Fox,West,12,401340,4514047,100,1.666666667
64_2016,2016,37,45,Raven,GSL,12,401716,4514177,60,1.666666667
65_2016,2016,37,44,Success,GSL,12,293009,4422084,40,2.333333333
66_2016,2016,37,52,Success,West,12,292816,4421223,70,2.333333333
67_2016,2016,37,60,Success,West,12,299489,4419159,60,2.333333333
68_2016,2016,37,49,Success,West,12,295505,4417785,10,2.666666667
69_2016,2016,37,46,Success,West,12,292240,4422625,60,3.333333333
70_2016,2016,37,62,Success,West,12,295547,4417681,10,1.666666667
71_2016,2016,38,45,Fox,West,12,301030,4417383,30,1
72_2016,2016,38,44,Gull,GSL,12,249923,4491634,100,0
73_2016,2016,38,45,Gull,GSL,12,405451,4548896,100,1.333333333
74_2016,2016,38,58,Success,West,12,405070,4549333,40,2
75_2016,2016,38,64,Success,West,12,294847,4423738,30,3.333333333
76_2016,2016,39,52,Fox,West,12,301339,4418013,80,1.333333333
77_2016,2016,39,54,Success,West,12,249224,4492311,90,0
78_2016,2016,40,52,Fox,West,12,294189,4424888,70,2.333333333
